title,size,price,nbrhood
AFFORDABLE TWO BEDROOM GREENSBURG,"
                    2br -
                ",$575, (405 Oakland Ave)
3br&1ba unit in a duplex in Oakland,"
                    3br -
                ",$1300, (Oakland)
3br&1ba unit in a duplex in Mt. Lebanon,"
                    3br -
                ",$1150, (Mt. Lebanon)
"****Vinyl Plank Hardwood Flooring, Washer & Dryer Included, Patios****","
                    2br -
                    1050ft, -
                ",$1360, (Moon Township)
Ask about our Move in Special!!  Newly Renovated and Pet Friendly!!,"
                    1br -
                    640ft, -
                ",$1045, (Bethel Park)
3BR Apartment in Bloomfield - 352 S Pacific Ave Unit 1 - $2100,"
                    3br -
                ",$2100, (352 S Pacific Ave Unit 1)
"**Decorative Fireplace, Granite Countertops, Fully Equipped Kitchen**","
                    2br -
                    825ft, -
                ",$1245, (Moon Township)
2BR House in Swissvale - 2243 Manor Ave  - $900,"
                    2br -
                ",$900, (2243 Manor Ave)
++ FIXER UPPER HOME AVAILABLE & IS 1352 SQUARE FEET ++,"
                    3br -
                ",$513,
1BR Apartment in Bellevue - 441 Teece Ave Unit 2 - $695,"
                    1br -
                ",$695, (441 Teece Ave Unit 2)
Rare opportunity for a fully detached view home.,"
                    3br -
                ",$500, (pittsburgh)
3BR/2BA home for rent,"
                    3br -
                ",$500, (pittsburgh)
3BR Townhouse in South Side Slopes - 2619 Josephine St  - $1650,"
                    3br -
                    1360ft, -
                ",$1650, (2619 Josephine St)
"Garden Style Apartment, Pet Friendly, Private Patio, Courtyard","
                    2br -
                    1073ft, -
                ",$1075, (Regent Square - Frick Park)
"Zipcar Onsite, Lots of Closet Space, Off Street Parking (fees apply)","
                    2br -
                ",$950,
"*****Fireplace, Resort Style Swimming Pool, Patios******","
                    2br -
                    1050ft, -
                ",$1360, (Moon Township)
"Bike share onsite, Phones Answered 24 Hours a Day, Zipcar Onsite","
                    3br -
                ",$1295,
"14-foot ceilings, Air Conditioning, Upgraded Apartments, Elevator","
                    1br -
                    735ft, -
                ",$1378, (Pittsburgh)
Updated 2 Bedroom 1 Bath,"
                    2br -
                    1000ft, -
                ",$800, (Brackenridge)
3BR Apartment in Shadyside - 5746 Howe St Unit 2 - $1995,"
                    3br -
                    1800ft, -
                ",$1995, (5746 Howe St Unit 2)
3BR House in Baldwin Twp - 2810 Mellott Rd  - $1250,"
                    3br -
                    1500ft, -
                ",$1250, (2810 Mellott Rd)
"Premium Single Bedroom, Near Shops & Restaurants, Dog Friendly, Oct 1","
                    1br -
                    700ft, -
                ",$859, (Regent Square - Frick Park)
2BR Apartment in Brookline - 2432 Lynnbrook Ave #1  - $750,"
                    2br -
                    750ft, -
                ",$750, (2432 Lynnbrook Ave #1)
Fully Renovated 2 Bedroom Apartment waiting for YOU,"
                    2br -
                    860ft, -
                ",$1295,
"Business Center, Basketball Court, On-Site clothes care centers","
                    1br -
                    730ft, -
                ",$840,
3BR House in Mt. Washington - 636 Griffin St  - $1375,"
                    3br -
                    1500ft, -
                ",$1375, (636 Griffin St)
"Top Floors of Beautiful House, Dog Friendly, Fenced Yard, Nov 1st","
                    3br -
                    1166ft, -
                ",$1098, (Regent Square - Frick Park)
"Garden Style Apartment, Pet Friendly, Private Patio, Courtyard","
                    2br -
                    1073ft, -
                ",$1075, (Regent Square - Frick Park)
"Zipcar Onsite, Lots of Closet Space, Bike share onsite","
                    3br -
                ",$1295,
2BR Apartment in Lawrenceville - 4411 Butler St 3rd Floor - $2250,"
                    2br -
                    1300ft, -
                ",$2250, (4411 Butler St 3rd Floor)
"Pet Spa/Dog Wash Station, Coffee/Tea Bar, Picnic Area with BBQ Grills","
                    2br -
                    820ft, -
                ",$1065,
NEWLY LISTED 2 BEDROOM TOWNHOUSE,,$725, (JEANNETTE)
HUD APPROVED Apartment for Rent,"
                    1br -
                ",$650, (Jeannette)
"14-foot ceilings, Air Conditioning, Upgraded Apartments, Elevator","
                    2br -
                    1435ft, -
                ",$2693, (Pittsburgh)
"2 bed- Resort-style Saline Pool with Cabana, Elegant Crown Molding","
                    2br -
                    1041ft, -
                ",$1635,
Terrific 3 Bedroom in Squirrel Hill!,"
                    2br -
                ",$1249, (Squirrel Hill)
"*****Decorative Fireplace, Resort Style Swimming Pool, Dog Park*****","
                    2br -
                    1050ft, -
                ",$1360, (Moon Township)
SUMMER 2020 Pitt Lrg 4 Bedroom/2.5bath Garage attached!,"
                    4br -
                    2599ft, -
                ",$2350, (3753 Childs Street Oakland 15213)
6633 Selwyn St Giant Point Breeze Two Bed!,"
                    2br -
                    1000ft, -
                ",$1200,
Beautiful spacious home in Fox Chapel with plenty outdoor space!,"
                    4br -
                    2300ft, -
                ",$2500, (106 Downing Dr Fox Chapel)
SUMMER 2020 Leasing Oakland Lrg 5 bedroom's perfect for Pitt Students!,"
                    5br -
                    2500ft, -
                ",$2500, (Fall 3755 Childs Street Pittsburgh PA)
Bloomfeild friendship one bedroom,"
                    1br -
                    500ft, -
                ",$790, (200 S Winebittle St)
Awesome Bloomfield 1 bedroom! Hardwood Floors & High ceilings!,"
                    1br -
                    900ft, -
                ",$845, (429 South Pacific Apt 1 Bloomfield)
Oakland/Pitt 4 Bedroom/2.5bath garage attached!,"
                    4br -
                    2599ft, -
                ",$2500, (3753 Childs Street Oakland 15213)
"Great Location Central Square, Completely Remodeled","
                    1br -
                    700ft, -
                ",$975, (Mt. Lebanon)
Perfect Apartment Location in a Great Building!,"
                    1br -
                ",$855, (Oakland)
SUMMER 2020 South Oakland Large 5 bedroom perfect for Pitt Students!,"
                    5br -
                    2500ft, -
                ",$2500, (3755 Childs Street Pittsburgh PA)
Great size 2 bedroom apartment,"
                    2br -
                    1000ft, -
                ",$650, (New Kensington)
Newly remodeled (Section 8 Accepted),"
                    2br -
                ",$675, (Clairton)
"Pet Friendly (Pet Fees Apply), Fully Equipped Kitchen, Newly Renovated","
                    1br -
                    640ft, -
                ",$1035, (Moon Township)
1BR Apartment in Shadyside - 641 Maryland Ave Unit 2 - $1295,"
                    1br -
                    700ft, -
                ",$1295, (641 Maryland Ave Unit 2)
3BR Apartment in Downtown - 820 Liberty Ave Unit 3 - $6000,"
                    3br -
                    3000ft, -
                ",$6000, (820 Liberty Ave Unit 3)
Renovated One Bedroom Apartment Available!,"
                    1br -
                    660ft, -
                ",$1170,
*Utilities Included*342 4th Ave-3rd Floor,"
                    1br -
                ",$675, (New Kensington)
1BR Apartment in Squirrel Hill South - 5677 Hobart St Unit 6 - $925,"
                    1br -
                    850ft, -
                ",$925, (5677 Hobart St Unit 6)
"2 BDR/1BA Luxury Apt, Penn Trafford School Dist","
                    2br -
                    800ft, -
                ",$950, (Trafford)
Munhall 3BR house (Walk to Homestead Park),"
                    3br -
                ",$975, (Alberta Street)
"1 Bdrm ready NOW - One floor, W/D hk-ups","
                    1br -
                    600ft, -
                ",$795, (Zelienople)
3BR Apartment in South Side Flats - 814 Selby Way Unit 2 - $1650,"
                    3br -
                ",$1650, (814 Selby Way Unit 2)
Move-In Special! 1 Bedroom Apartment ~ Single Story Living,"
                    1br -
                ",$750, (Jefferson Hills)
Cute Studio Apartment!,,$845, (Squirrel Hill)
Charming 3 bedroom Duplex in Squirrel Hill!,,$1249, (Squirrel Hill)
Beautiful 3 Bedroom Duplex with Charm!,"
                    3br -
                ",$1249, (Squirrel Hill)
Newly Updated 2 bedroom Apartment! Great price and Location!,"
                    2br -
                ",$1249, (Squirrel Hill)
"Pet Friendly (Pet Fees Apply), Newly Painted, Free Parking","
                    213ft, -
                ",$515,
2 bedroom half duplex for rent,"
                    2br -
                    800ft, -
                ",$510, (Rankin)
3BR Apartment in Shadyside - 6209 Kentucky Ave Unit 2 - $1995,"
                    3br -
                ",$1995, (6209 Kentucky Ave Unit 2)
Accepting Apps for Fall Now! Modern 2BR w/Utilities Included,"
                    2br -
                    900ft, -
                ",$1325, (Highland Park)
*Fall Special* Spacious 1BR near Lawrenceville +All Utilities Incl,"
                    1br -
                    800ft, -
                ",$1125, (Highland Park)
Reno 2 bedroom apartment in Shadyside,"
                    2br -
                ",$1375, (Shadyside/ Squirrel Hill/ UPMC/ Chatham/ Pitt)
2BR Apartment in Marshall-Shadeland - 1044 Grand Ave Unit Rear - $1200,"
                    2br -
                ",$1200, (1044 Grand Ave Unit Rear)
Picture Perfect 3 bedroom!,"
                    3br -
                    1600ft, -
                ",$900, (New Kensington)
Spacious 3 Bedroom Apartment (2nd Floor),"
                    3br -
                ",$700,
3BR Apartment in South Side Slopes - 2514 Josephine St Unit Rear - $15,"
                    3br -
                ",$1550, (2514 Josephine St Unit Rear)
3 Bedroom House On a Cul-de-sac Quiet Street & Backyard,"
                    3br -
                ",$900," (West Mifflin, PA)"
"****Fireplace, Pet Grooming Center “Paw Spa”, Dog Park****","
                    2br -
                    965ft, -
                ",$1285, (Moon Township)
"$1,300~1BR/1BA~Live in Downtown PGH at the Historic Alcoa Building!!","
                    1br -
                    595ft, -
                ",$1300, (downtown)
WHY OVERPAY? LARGE 2 BR W/BALC ON T IN BETHEL PARK,"
                    2br -
                ",$825, (5710 PEBBLE CREEK CT)
"$1,400~1BR/1BA~Live in Downtown PGH at the Historic Alcoa Building!!","
                    1br -
                    728ft, -
                ",$1400, (downtown)
**TOWNHOUSE WITH GARAGE **,"
                    2br -
                    1200ft, -
                ",$1090, (MONROEVILLE)
"$1,375~25th Floor!~1BR/1 BA~Live in Luxury at the Alcoa Building!","
                    1br -
                    660ft, -
                ",$1375, (Downtown)
"Gated Community, On-Site Patrol Service, Patio/Balcony","
                    2br -
                    820ft, -
                ",$1065,
1BR Apartment in North Shore - 827 N Lincoln Ave Unit 8 - $1350,"
                    1br -
                ",$1350, (827 N Lincoln Ave Unit 8)
CALDWELL HOUSE ROOMS FOR RENT,"
                    1br -
                ",$180, (110 S McDonald St)
$2250~2BR/2BA~Live in Downtown PGH at the Historic Alcoa Building!!,"
                    2br -
                    1200ft, -
                ",$2250, (Downtown)
"$1,300~1 BR/1 BA~Live Downtown next to Market Square!","
                    2br -
                    777ft, -
                ",$1300, (Downtown)
2BR Apartment in Downtown - 139 7th St Suite 2000 - $3200,"
                    2br -
                    2260ft, -
                ",$3200, (139 7th St Suite 2000)
CALDWELL HOUSE ROOMS FOR RENT,"
                    1br -
                ",$180, (110 S McDonald St)
1BR Apartment in Fox Chapel - 500 Jeffrey Ln Apt C - $775,"
                    1br -
                ",$775, (500 Jeffrey Ln Apt C)
"$1,795~2BR/2BA~526 Penn Ave!~Live Downtown next to Market Square!","
                    2br -
                    1048ft, -
                ",$1795, (Downtown)
Ask About Our Move In SPECIAL!! Newly Renovated & Close To The T!!,"
                    2br -
                    860ft, -
                ",$1295, (Bethel Park)
cozy 2 bedroom 1 1/2 bath house in McKees Rocks,"
                    2br -
                ",$750, (McKees Rocks)
"HUGE 2 story apartment, completely updated, super cool","
                    3br -
                    2050ft, -
                ",$1295, (regent square/wilkinsburg)
5BR House in South Oakland - 3263 Parkview Ave  - $2200,"
                    5br -
                    1272ft, -
                ",$2200, (3263 Parkview Ave)
"Mobile Home  2 bedroom , 2 Bath  16X80 ,  Country  , not in a park","
                    2br -
                ",$795," (Connellsville , Dawson , Scottdale Pa. area)"
"Lawrenceville - Pet Friendly, Parking Pad, and Perfect Location!","
                    3br -
                ",$1699, (4022 Mintwood Street)
Newly Renovated Apartment waiting for YOU to make it HOME!,"
                    1br -
                    660ft, -
                ",$1170,
Come relax by the pool in your new home!,"
                    2br -
                    860ft, -
                ",$1295,
Welcome to the Evalee Apartments!!!,"
                    2br -
                    860ft, -
                ",$1195,
Welcome to the Evalee Apartments!!!,"
                    2br -
                    860ft, -
                ",$1195,
